Time(s),Pitch 
0.0,74.99999999999997
0.01,74.99999999999997
0.02,74.99999999999997
0.03,74.99999999999997
0.04,74.99999999999997
0.05,75.33921558127047
0.06,75.33921558127047
0.07,75.33921558127047
0.08,77.12802555298946
0.09,294.10201473498086
0.1,292.2498094398505
0.11,291.1966484293073
0.12,253.40990524127724
0.13,249.77681776722406
0.14,248.6521951152215
0.15,247.53263608810096
0.16,245.75181711655011
0.17,241.35561947379932
0.18,224.1383607861165
0.19,222.12453417337753
0.2,220.52650818878752
0.21,217.75757674152283
0.22,198.964988406549
0.23,197.71194018991488
0.24,197.17733819240848
0.25,197.17733819240848
0.26,197.355378050051
0.27,198.4269982369426
